City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
83,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,100,100,9.22,fog,2022-06-28 03:53:51
84,Hirara,JP,24.8,125.2833,87.66,79,75,19.57,broken clouds,2022-06-28 03:52:53
85,Russell,US,32.3502,-85.1999,76.28,83,40,4.61,scattered clouds,2022-06-28 03:53:07
86,Juegang,CN,32.3174,121.1855,93.97,45,100,19.26,overcast clouds,2022-06-28 03:57:29
87,Price,US,39.5994,-110.8107,71.11,48,34,2.82,scattered clouds,2022-06-28 03:55:21
88,Henties Bay,NA,-22.116,14.2845,71.74,36,0,21.18,clear sky,2022-06-28 03:57:29
89,Santa Rosa,PH,14.3122,121.1114,81.09,69,100,7.36,overcast clouds,2022-06-28 03:56:38
90,Hilo,US,19.7297,-155.09,80.33,69,20,6.91,few clouds,2022-06-28 03:48:05
91,Horqueta,PY,-23.3428,-57.0597,62.24,68,32,3.98,scattered clouds,2022-06-28 03:57:30
92,Khatanga,RU,71.9667,102.5,54.48,39,7,5.26,clear sky,2022-06-28 03:50:34
93,The Valley,AI,18.217,-63.0578,82.26,77,76,18.99,broken clouds,2022-06-28 03:51:31
94,College,US,64.8569,-147.8028,79.59,39,40,13.8,smoke,2022-06-28 03:52:34
95,Vostok,RU,46.4856,135.8833,68.52,66,100,3.69,moderate rain,2022-06-28 03:57:31
96,Provideniya,RU,64.3833,-173.3,42.91,100,100,8.99,fog,2022-06-28 03:50:28
97,Jardim,BR,-21.4803,-56.1381,61.39,70,8,2.24,clear sky,2022-06-28 03:57:31
98,Urrao,CO,6.3152,-76.1342,56.84,99,96,0.45,overcast clouds,2022-06-28 03:57:31
99,Akyab,MM,20.15,92.9,82.49,79,99,10.98,overcast clouds,2022-06-28 03:53:42
100,Miyako,JP,39.6367,141.9525,73.94,89,100,5.1,light rain,2022-06-28 03:54:36
101,Bichena,ET,10.45,38.2,55.58,77,99,0.85,overcast clouds,2022-06-28 03:57:32
102,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,55,4.0,broken clouds,2022-06-28 03:50:11
103,Kavieng,PG,-2.5744,150.7967,85.59,63,89,10.58,overcast clouds,2022-06-28 03:52:46
104,Chachapoyas,PE,-6.2317,-77.869,48.88,94,4,2.48,clear sky,2022-06-28 03:57:33
105,Castro,BR,-24.7911,-50.0119,49.41,95,44,2.37,scattered clouds,2022-06-28 03:50:39
106,Springdale,US,36.1867,-94.1288,69.28,74,27,5.12,scattered clouds,2022-06-28 03:53:54
107,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.64,71,13,5.21,few clouds,2022-06-28 03:53:30
108,Aitape,PG,-3.1374,142.3475,82.71,76,100,10.04,moderate rain,2022-06-28 03:57:33
109,Carutapera,BR,-1.195,-46.02,75.96,90,99,5.97,overcast clouds,2022-06-28 03:57:34
110,Khani,GE,41.9563,42.9566,56.77,86,9,1.63,clear sky,2022-06-28 03:57:34
111,Novyy Urgal,RU,51.0736,132.5642,75.22,60,100,5.06,overcast clouds,2022-06-28 03:53:00
112,Jiexiu,CN,37.0244,111.9125,81.9,37,43,16.22,scattered clouds,2022-06-28 03:57:35
113,Basco,PH,20.4487,121.9702,83.75,78,75,20.11,broken clouds,2022-06-28 03:57:35
114,Bethel,US,41.3712,-73.414,68.36,91,0,0.0,clear sky,2022-06-28 03:49:36
115,Kodiak,US,57.79,-152.4072,62.11,63,0,3.44,clear sky,2022-06-28 03:50:50
116,Aklavik,CA,68.2191,-135.0107,70.3,47,100,1.5,overcast clouds,2022-06-28 03:51:17
117,Jian,CN,27.1172,114.9793,89.67,62,100,11.86,overcast clouds,2022-06-28 03:57:36
118,Awjilah,LY,29.1081,21.2869,77.9,49,0,7.4,clear sky,2022-06-28 03:57:36
119,Ilulissat,GL,69.2167,-51.1,36.05,76,7,3.36,clear sky,2022-06-28 03:50:16
120,Fallon,US,39.4735,-118.7774,91.27,10,20,19.57,few clouds,2022-06-28 03:54:31
121,Tura,IN,25.5198,90.2201,74.19,97,100,6.4,moderate rain,2022-06-28 03:51:39
122,Hithadhoo,MV,-0.6,73.0833,83.35,71,77,7.18,broken clouds,2022-06-28 03:45:14
123,Muros,ES,42.7762,-9.0603,48.83,92,2,4.41,clear sky,2022-06-28 03:52:22
124,Ambon,ID,-3.6954,128.1814,86.23,10,40,6.91,scattered clouds,2022-06-28 03:57:37
125,Cove,BJ,7.221,2.3402,73.27,96,100,3.47,overcast clouds,2022-06-28 03:57:37
126,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,40,17.27,scattered clouds,2022-06-28 03:52:04
127,Cape Town,ZA,-33.9258,18.4232,57.38,64,0,3.44,clear sky,2022-06-28 03:49:48
128,Onega,RU,63.9061,38.1404,46.92,64,5,4.65,clear sky,2022-06-28 03:57:38
129,San Sebastian,ES,43.3128,-1.975,60.64,91,100,2.3,overcast clouds,2022-06-28 03:57:39
130,Bilma,NE,18.6853,12.9164,87.84,14,1,5.37,clear sky,2022-06-28 03:57:39
131,Saskylakh,RU,71.9167,114.0833,46.92,51,93,6.89,overcast clouds,2022-06-28 03:51:14
132,Chicama,PE,-7.8447,-79.1469,59.54,87,27,4.72,scattered clouds,2022-06-28 03:57:39
133,Sioux Lookout,CA,50.1001,-91.917,55.47,94,75,4.61,broken clouds,2022-06-28 03:57:40
134,Severo-Kurilsk,RU,50.6789,156.125,46.35,97,100,13.62,light rain,2022-06-28 03:50:07
135,Anchorage,US,61.2181,-149.9003,69.66,60,0,15.01,clear sky,2022-06-28 03:49:22
