City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Inhambane,MZ,68.0,broken clouds,-23.865,35.3833,Oceano
223,Amga,RU,71.47,light rain,60.8953,131.9608,Algys
224,Awbari,LY,84.67,clear sky,26.5921,12.7805,فندق أوباري
225,Flinders,AU,62.38,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
227,Carnarvon,AU,72.55,clear sky,-24.8667,113.6333,Hospitality Carnarvon
228,Inuvik,CA,76.21,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
229,Isla Vista,US,88.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
230,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
231,Lovozero,RU,51.91,clear sky,68.005,35.0117,Country house Lovozero
232,Kaupanger,NO,54.1,overcast clouds,61.1845,7.2404,Vesterland Holiday Park
233,Teya,RU,63.05,light rain,60.3778,92.6267,
234,Scalea,IT,82.8,clear sky,39.813,15.7956,Grand Hotel de Rose
235,Oriximina,BR,74.01,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
236,Ponta Do Sol,PT,67.01,few clouds,32.6667,-17.1,Hotel do Campo
237,Bontang,ID,86.27,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
238,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
239,Churapcha,RU,73.65,light rain,62.0025,132.4325,"""Tusku"""
240,Rancho Palos Verdes,US,83.43,clear sky,33.7445,-118.387,Terranea Resort
241,Boa Vista,BR,75.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
242,Neryungri,RU,74.53,light rain,56.6709,124.6491,Pyat' Zvozd
243,Victor Harbor,AU,60.01,clear sky,-35.5667,138.6167,McCracken Country Club
244,Tambacounda,SN,86.05,clear sky,13.7539,-13.7586,
245,Ilo,PE,60.71,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
246,Gat,IL,73.4,clear sky,31.61,34.7642,OlusHome
247,Quatre Cocos,MU,69.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
248,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
249,Balabac,PH,83.32,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
250,Saldanha,ZA,50.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
251,Marsh Harbour,BS,80.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
253,Lida,BY,69.67,broken clouds,53.8833,25.2997,La Zamka
254,Kiama,AU,62.58,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
255,Auki,SB,78.89,overcast clouds,-8.7676,160.7034,Auki Motel
257,Huarmey,PE,62.82,broken clouds,-10.0681,-78.1522,Hotel Miramar
258,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
259,Bubaque,GW,79.41,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
260,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
261,Vila Do Maio,CV,74.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
262,Muswellbrook,AU,56.03,overcast clouds,-32.2667,150.9,Wayfarer Motel
263,Neustadt,DE,62.71,broken clouds,49.7117,12.0872,Ferienwohnung Weiden - Max Wiesent
264,Miraflores,MX,61.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
265,Qingdao,CN,78.4,light intensity shower rain,36.0986,120.3719,Le Meridien Qingdao
268,Touros,BR,73.02,few clouds,-5.1989,-35.4608,INN NEW HORIZON
269,Bilibino,RU,51.48,light rain,68.0546,166.4372,Gostinitsa Severyanka
270,Ugoofaaru,MV,82.63,overcast clouds,5.6667,73.0,Ungoofaaru Inn
