City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
556,Wolfen,DE,51.6667,12.2833,64.47,90,93,5.5,overcast clouds,2022-06-28 03:53:10
557,Benjamin Constant,BR,-4.3831,-70.0311,73.53,96,81,2.51,broken clouds,2022-06-28 03:53:10
558,Zhangye,CN,38.9342,100.4517,88.43,14,2,4.14,clear sky,2022-06-28 03:53:11
559,Eastbourne,GB,50.7687,0.2845,58.39,86,12,1.01,few clouds,2022-06-28 03:53:11
560,Constantine,DZ,36.365,6.6147,69.21,60,20,8.05,few clouds,2022-06-28 03:53:11
561,Hovd,MN,48.0056,91.6419,84.96,18,78,4.09,broken clouds,2022-06-28 03:53:12
562,Vila,PT,42.0304,-8.1588,43.68,90,0,3.29,clear sky,2022-06-28 03:53:12
563,Maceio,BR,-9.6658,-35.7353,74.64,88,40,4.61,scattered clouds,2022-06-28 03:53:12
564,Yarada,IN,17.65,83.2667,84.52,74,75,5.75,broken clouds,2022-06-28 03:53:13
565,Mazagao,BR,-0.115,-51.2894,78.85,89,25,1.97,scattered clouds,2022-06-28 03:53:13
566,Mpika,ZM,-11.8343,31.4529,50.99,92,100,10.83,overcast clouds,2022-06-28 03:53:13
567,Wajir,KE,1.7471,40.0573,71.56,73,0,0.0,clear sky,2022-06-28 03:53:14
568,Isangel,VU,-19.55,169.2667,84.31,84,75,4.61,broken clouds,2022-06-28 03:53:14
569,Panama City,PA,8.9936,-79.5197,76.28,94,75,2.3,drizzle,2022-06-28 03:53:14
570,Mareeba,AU,-17.0,145.4333,68.72,79,65,8.55,broken clouds,2022-06-28 03:53:15
571,Taixing,CN,32.1667,120.0136,95.34,45,100,20.85,overcast clouds,2022-06-28 03:53:15
572,Hailar,CN,49.2,119.7,85.59,28,0,7.2,clear sky,2022-06-28 03:53:16
573,Jilib,SO,0.4883,42.7854,71.91,93,90,4.92,light rain,2022-06-28 03:53:16
574,Tambopata,PE,-12.7333,-69.1833,67.42,78,0,1.3,clear sky,2022-06-28 03:53:16
575,Margate,GB,51.3813,1.3862,53.91,89,2,1.99,clear sky,2022-06-28 03:53:17
576,Khomutovo,RU,52.4658,104.4025,83.01,28,5,9.51,clear sky,2022-06-28 03:53:17
577,Pemangkat,ID,1.1667,108.9667,84.88,71,44,6.08,scattered clouds,2022-06-28 03:53:17
578,Milkovo,RU,54.7167,158.6167,77.16,36,0,2.37,clear sky,2022-06-28 03:53:18
579,Novopavlovka,RU,51.2172,109.2091,88.7,26,2,5.08,clear sky,2022-06-28 03:53:18
580,Morant Bay,JM,17.8815,-76.4093,82.02,83,66,6.13,broken clouds,2022-06-28 03:53:18
581,Batagay-Alyta,RU,67.8006,130.4114,37.58,89,100,6.06,overcast clouds,2022-06-28 03:53:19
582,Santa Lucia,ES,27.9117,-15.5407,61.92,68,75,23.02,broken clouds,2022-06-28 03:53:19
583,Hlukhiv,UA,51.6782,33.9162,71.74,84,0,6.78,clear sky,2022-06-28 03:53:20
584,Dicabisagan,PH,17.0818,122.4157,78.31,93,100,12.1,heavy intensity rain,2022-06-28 03:53:20
585,Kavaratti,IN,10.5669,72.642,81.95,80,100,21.14,overcast clouds,2022-06-28 03:53:20
586,Xinzhi,CN,36.4989,111.7047,88.29,30,12,17.45,few clouds,2022-06-28 03:53:21
587,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,68,100,16.11,overcast clouds,2022-06-28 03:53:21
588,Aykhal,RU,66.0,111.5,53.44,42,95,12.66,overcast clouds,2022-06-28 03:53:21
589,Ilhabela,BR,-23.7781,-45.3581,64.51,87,33,6.78,scattered clouds,2022-06-28 03:53:22
590,Kokopo,PG,-4.352,152.2633,84.42,59,20,5.06,few clouds,2022-06-28 03:53:22
591,Charters Towers,AU,-20.1,146.2667,70.29,34,52,8.21,broken clouds,2022-06-28 03:53:22
592,Port Blair,IN,11.6667,92.75,86.04,74,40,6.91,scattered clouds,2022-06-28 03:53:23
593,Yantal,RU,56.8471,105.2542,86.5,42,84,5.93,broken clouds,2022-06-28 03:53:23
594,Mangai,CD,-4.05,19.5333,67.68,50,71,2.42,broken clouds,2022-06-28 03:53:24
595,Ilinskiy,RU,55.619,38.1182,73.78,73,0,7.0,clear sky,2022-06-28 03:53:24
596,Petatlan,MX,17.5167,-101.2667,78.21,91,97,2.57,overcast clouds,2022-06-28 03:53:24
597,Kinsale,IE,51.7075,-8.5306,57.24,100,75,21.85,broken clouds,2022-06-28 03:53:25
598,Mangrol,IN,21.1167,70.1167,85.06,73,96,12.75,overcast clouds,2022-06-28 03:53:25
599,Alexandria,EG,31.2156,29.9553,75.16,73,40,10.36,scattered clouds,2022-06-28 03:52:15
600,Kichera,RU,55.9375,110.0997,78.98,51,58,6.13,broken clouds,2022-06-28 03:53:25
601,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,3.44,clear sky,2022-06-28 03:53:26
602,North Bend,US,43.4065,-124.2243,58.91,91,100,6.91,overcast clouds,2022-06-28 03:53:26
603,Lashio,MM,22.9333,97.75,75.63,82,100,1.19,overcast clouds,2022-06-28 03:53:26
604,Villa Guerrero,MX,18.8667,-99.65,65.26,91,99,3.62,overcast clouds,2022-06-28 03:53:27
605,Khash,IR,28.2211,61.2158,88.72,27,0,1.81,clear sky,2022-06-28 03:53:27
606,Magdalena,PH,14.1999,121.429,84.54,76,100,4.76,overcast clouds,2022-06-28 03:53:27
607,Jackson,US,42.4165,-122.8345,81.55,43,0,0.69,clear sky,2022-06-28 03:53:28
608,Luangwa,ZM,-15.6167,30.4167,61.81,70,64,8.23,broken clouds,2022-06-28 03:53:28
609,Mindelo,CV,16.8901,-24.9804,72.95,73,20,16.11,few clouds,2022-06-28 03:53:28
610,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,100,10.36,mist,2022-06-28 03:53:29
611,Saint-Augustin,CA,51.226,-58.6502,55.94,94,62,17.96,broken clouds,2022-06-28 03:53:29
612,Ukiah,US,39.1502,-123.2078,66.36,59,0,4.79,clear sky,2022-06-28 03:53:29
613,Bemidji,US,47.4736,-94.8803,62.56,75,2,7.96,clear sky,2022-06-28 03:53:30
614,Ugoofaaru,MV,5.6667,73.0,82.63,77,95,12.59,overcast clouds,2022-06-28 03:53:30
615,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.64,71,13,5.21,few clouds,2022-06-28 03:53:30
616,El Alto,PE,-4.2714,-81.2147,61.77,87,24,13.42,few clouds,2022-06-28 03:53:31
617,Khingansk,RU,49.1167,131.1833,75.76,48,89,8.34,overcast clouds,2022-06-28 03:53:31
618,Khakhea,BW,-24.6895,23.494,48.94,84,6,7.78,clear sky,2022-06-28 03:53:31
619,Acushnet,US,41.6807,-70.9078,67.28,95,100,4.81,light rain,2022-06-28 03:53:32
620,Pangoa,PE,-12.1167,-73.0,65.07,84,0,2.89,clear sky,2022-06-28 03:53:32
621,Trunovskoye,RU,45.4878,42.1358,63.9,76,100,6.33,light rain,2022-06-28 03:53:33
622,Great Falls,US,47.5002,-111.3008,73.85,33,0,5.75,clear sky,2022-06-28 03:53:33
623,Oak Ridge,US,36.0104,-84.2696,72.14,67,81,5.82,broken clouds,2022-06-28 03:53:33
624,Aktau,KZ,43.65,51.2,84.78,40,14,15.88,light rain,2022-06-28 03:53:34
625,Muslyumovo,RU,55.3033,53.1947,48.96,72,0,13.2,clear sky,2022-06-28 03:53:34
626,Shangzhi,CN,45.2167,127.9667,65.79,98,100,10.2,overcast clouds,2022-06-28 03:53:34
627,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,25.32,broken clouds,2022-06-28 03:53:35
628,Tazmalt,DZ,36.3868,4.3989,67.14,65,46,1.32,scattered clouds,2022-06-28 03:53:35
629,Villamontes,BO,-21.25,-63.5,56.44,88,4,1.12,clear sky,2022-06-28 03:53:35
630,Bindura,ZW,-17.3019,31.3306,47.88,80,15,5.23,few clouds,2022-06-28 03:53:36
631,Guapi,CO,2.5708,-77.8854,73.51,96,95,4.5,moderate rain,2022-06-28 03:53:36
632,Kirakira,SB,-10.4544,161.9205,79.66,81,100,7.25,overcast clouds,2022-06-28 03:53:36
633,Baker City,US,44.7749,-117.8344,73.44,28,6,4.85,clear sky,2022-06-28 03:53:37
634,Dauriya,RU,49.9333,116.8667,86.32,25,1,5.64,clear sky,2022-06-28 03:53:37
635,Leshukonskoye,RU,64.8989,45.7622,46.58,56,32,11.3,scattered clouds,2022-06-28 03:53:37
